"","CID","Treatment","Age.death","Surv.pupa","PupateOK","Age.pupa","Mass.pupa","Expt","Population"
"1","94","26","14","Y","N","14","186.3","NC1","NC"
"2","97","26","14","Y","N","14","186","NC1","NC"
"3","115","30","13","Y","N","13","214.6","NC1","NC"
"4","125","26","14","Y","N","14","211.7","NC1","NC"
"5","138","26","13","Y","N","13","211.2","NC1","NC"
"6","141","30","12","Y","N","12","184.3","NC1","NC"
"7","145","30","11","Y","N","11","181.7","NC1","NC"
"8","155","26","15","Y","N","15","189.7","NC1","NC"
"9","190","26","14","Y","N","14","188.8","NC1","NC"
"10","225","30","11","Y","N","11","141.6","NC1","NC"
"11","227","30","11","Y","N","11","128.7","NC1","NC"
"12","128","26","15","Y","N","15","242.5","NC1","NC"
"13","185","26","15","Y","N","15","193.4","NC1","NC"
"14","187","26","15","Y","N","15","166.2","NC1","NC"
"15","193","21","20","Y","N","20","213.1","NC1","NC"
"16","194","21","18","Y","N","18","180.2","NC1","NC"
"17","204","34","14","Y","N","14","113.4","NC1","NC"
"18","210","26","11","Y","N","11","166.7","NC1","NC"
"19","214","34","17","Y","N","17","110","NC1","NC"
"20","217","30","13","Y","N","13","199.5","NC1","NC"
"21","218","30","11","Y","N","11","182.3","NC1","NC"
"22","221","30","12","Y","N","12","257.9","NC1","NC"
"23","224","30","12","Y","N","12","151.8","NC1","NC"
"24","230","21","21","Y","N","21","209.4","NC1","NC"
"25","232","21","22","Y","N","22","180.5","NC1","NC"
"26","235","30","12","Y","N","12","160.4","NC1","NC"
"27","236","30","12","Y","N","12","173","NC1","NC"
"28","239","30","12","Y","N","12","200.4","NC1","NC"
"29","253","34","16","Y","N","16","136.7","NC1","NC"
"30","256","21","21","Y","N","21","199.4","NC1","NC"
"31","257","21","20","Y","N","20","216.1","NC1","NC"
"32","258","21","20","Y","N","20","183","NC1","NC"
"33","259","21","22","Y","N","22","243.9","NC1","NC"
"34","260","21","22","Y","N","22","174","NC1","NC"
"35","265","30","14","Y","N","14","230.8","NC1","NC"
"36","266","30","13","Y","N","13","163.9","NC1","NC"
"37","268","26","13","Y","N","13","187.5","NC1","NC"
"38","269","26","16","Y","N","16","128.5","NC1","NC"
"39","270","26","12","Y","N","12","169.4","NC1","NC"
"40","271","26","12","Y","N","12","204.1","NC1","NC"
"41","273","26","11","Y","N","11","155.3","NC1","NC"
"42","274","21","21","Y","N","21","142.3","NC1","NC"
"43","275","21","21","Y","N","21","191.2","NC1","NC"
"44","276","21","23","Y","N","23","147.8","NC1","NC"
"45","277","21","21","Y","N","21","202.3","NC1","NC"
"46","278","21","19","Y","N","19","191.7","NC1","NC"
"47","283","26","13","Y","N","13","195.8","NC1","NC"
"48","286","26","13","Y","N","13","187","NC1","NC"
"49","287","26","13","Y","N","13","214.2","NC1","NC"
"50","289","26","12","Y","N","12","187.8","NC1","NC"
"51","290","26","12","Y","N","12","162.7","NC1","NC"
"52","293","26","16","Y","N","16","209.2","NC1","NC"
"53","300","21","20","Y","N","20","173.5","NC1","NC"
"54","304","21","24","Y","N","24","231.2","NC1","NC"
"55","306","34","18","Y","N","18","129.3","NC1","NC"
"56","312","21","22","Y","N","22","212.7","NC1","NC"
"57","315","21","24","Y","N","24","262.9","NC1","NC"
"58","316","21","21","Y","N","21","180.1","NC1","NC"
"59","317","21","19","Y","N","19","146.2","NC1","NC"
"60","319","21","22","Y","N","22","147.2","NC1","NC"
"61","321","21","24","Y","N","24","234","NC1","NC"
"62","324","21","23","Y","N","23","164.4","NC1","NC"
"63","325","21","22","Y","N","22","192.2","NC1","NC"
"64","326","21","23","Y","N","23","212.1","NC1","NC"
"65","327","21","21","Y","N","21","226","NC1","NC"
"66","328","21","23","Y","N","23","201.6","NC1","NC"
"67","330","21","24","Y","N","24","276","NC1","NC"
"68","331","21","22","Y","N","22","210.3","NC1","NC"
"69","332","16","33","Y","N","33","216","NC1","NC"
"70","335","16","34","Y","N","34","200.5","NC1","NC"
"71","336","21","22","Y","N","22","212.7","NC1","NC"
"72","337","21","25","Y","N","25","196.3","NC1","NC"
"73","338","21","21","Y","N","21","210.7","NC1","NC"
"74","339","21","21","Y","N","21","158.6","NC1","NC"
"75","340","21","25","Y","N","25","238.4","NC1","NC"
"76","341","16","34","Y","N","34","180.2","NC1","NC"
"77","342","16","35","Y","N","35","132.1","NC1","NC"
"78","343","16","33","Y","N","33","218.6","NC1","NC"
"79","346","16","32","Y","N","32","152.2","NC1","NC"
"80","347","16","30","Y","N","30","158.5","NC1","NC"
"81","348","21","26","Y","N","26","183.1","NC1","NC"
"82","349","21","25","Y","N","25","216.9","NC1","NC"
"83","352","16","34","Y","N","34","195.9","NC1","NC"
"84","353","16","34","Y","N","34","212.5","NC1","NC"
"85","354","16","32","Y","N","32","256.3","NC1","NC"
"86","355","16","38","Y","N","38","221.5","NC1","NC"
"87","357","16","34","Y","N","34","210.4","NC1","NC"
"88","359","16","42","Y","N","42","174","NC1","NC"
"89","360","16","38","Y","N","38","225.3","NC1","NC"
"90","361","16","36","Y","N","36","166.9","NC1","NC"
"91","363","16","38","Y","N","38","198.6","NC1","NC"
"92","364","16","36","Y","N","36","224.5","NC1","NC"
"93","366","16","37","Y","N","37","215.8","NC1","NC"
"94","367","16","35","Y","N","35","220.7","NC1","NC"
"95","368","16","38","Y","N","38","237.6","NC1","NC"
"96","369","16","37","Y","N","37","239.3","NC1","NC"
"97","371","16","38","Y","N","38","234.7","NC1","NC"
"98","372","16","36","Y","N","36","275","NC1","NC"
"99","373","16","37","Y","N","37","188.5","NC1","NC"
"100","375","16","35","Y","N","35","202.1","NC1","NC"
"101","376","16","35","Y","N","35","261.2","NC1","NC"
"102","382","16","40","Y","N","40","188.8","NC1","NC"
"103","385","16","41","Y","N","41","205.2","NC1","NC"
"104","70","30",NA,"Y","Y","10","174.9","NC1","NC"
"105","73","30",NA,"Y","Y","10","234.7","NC1","NC"
"106","75","30",NA,"Y","Y","10","178.9","NC1","NC"
"107","88","26",NA,"Y","Y","12","226.28","NC1","NC"
"108","93","26",NA,"Y","Y","12","157.1","NC1","NC"
"109","100","30",NA,"Y","Y","10","201.1","NC1","NC"
"110","101","30",NA,"Y","Y","10","167.1","NC1","NC"
"111","102","30",NA,"Y","Y","10","193.7","NC1","NC"
"112","111","30",NA,"Y","Y","11","177.8","NC1","NC"
"113","129","26",NA,"Y","Y","11","164.8","NC1","NC"
"114","132","26",NA,"Y","Y","11","234.02","NC1","NC"
"115","153","26",NA,"Y","Y","12","195.1","NC1","NC"
"116","154","26",NA,"Y","Y","11","163.3","NC1","NC"
"117","156","26",NA,"Y","Y","11","181.6","NC1","NC"
"118","160","26",NA,"Y","Y","11","195.9","NC1","NC"
"119","164","34",NA,"Y","Y","14","124.6","NC1","NC"
"120","166","34",NA,"Y","Y","15","112.1","NC1","NC"
"121","167","34",NA,"Y","Y","14","105.2","NC1","NC"
"122","176","30",NA,"Y","Y","11","242.8","NC1","NC"
"123","184","30",NA,"Y","Y","11","182.9","NC1","NC"
"124","195","21",NA,"Y","Y","20","177.6","NC1","NC"
"125","196","21",NA,"Y","Y","20","174.8","NC1","NC"
"126","199","34",NA,"Y","Y","15","142.7","NC1","NC"
"127","201","34",NA,"Y","Y","14","138.4","NC1","NC"
"128","211","34",NA,"Y","Y","13","129","NC1","NC"
"129","212","34",NA,"Y","Y","16","142.8","NC1","NC"
"130","219","30",NA,"Y","Y","12","199.9","NC1","NC"
"131","220","30",NA,"Y","Y","12","166.4","NC1","NC"
"132","223","30",NA,"Y","Y","11","176.9","NC1","NC"
"133","228","30",NA,"Y","Y","10","146.3","NC1","NC"
"134","229","30",NA,"Y","Y","9","165.5","NC1","NC"
"135","231","21",NA,"Y","Y","21","170.3","NC1","NC"
"136","234","30",NA,"Y","Y","12","176.1","NC1","NC"
"137","237","30",NA,"Y","Y","13","195.2","NC1","NC"
"138","238","30",NA,"Y","Y","13","184.9","NC1","NC"
"139","241","30",NA,"Y","Y","11","180.7","NC1","NC"
"140","242","30",NA,"Y","Y","12","154.7","NC1","NC"
"141","243","30",NA,"Y","Y","12","190.9","NC1","NC"
"142","244","30",NA,"Y","Y","12","179.2","NC1","NC"
"143","248","34",NA,"Y","Y","14","125.8","NC1","NC"
"144","249","34",NA,"Y","Y","14","113.5","NC1","NC"
"145","250","34",NA,"Y","Y","13","106.3","NC1","NC"
"146","262","34",NA,"Y","Y","14","167.1","NC1","NC"
"147","263","34",NA,"Y","Y","14","144.3","NC1","NC"
"148","264","34",NA,"Y","Y","14","147.8","NC1","NC"
"149","288","26",NA,"Y","Y","12","172.8","NC1","NC"
"150","301","21",NA,"Y","Y","19","160.6","NC1","NC"
"151","379","16",NA,"Y","Y","38","211.6","NC1","NC"
"152","71","30",NA,"Y","Y","10","202.8","NC1","NC"
"153","72","30",NA,"Y","Y","11","246.5","NC1","NC"
"154","74","30",NA,"Y","Y","10","182.9","NC1","NC"
"155","76","30",NA,"Y","Y","10","175.4","NC1","NC"
"156","78","30",NA,"Y","Y","11","196.6","NC1","NC"
"157","79","30",NA,"Y","Y","11","209.6","NC1","NC"
"158","89","26",NA,"Y","Y","12","202.3","NC1","NC"
"159","90","26",NA,"Y","Y","12","215.4","NC1","NC"
"160","92","26",NA,"Y","Y","12","205.41","NC1","NC"
"161","95","26",NA,"Y","Y","12","214","NC1","NC"
"162","96","26",NA,"Y","Y","12","218.9","NC1","NC"
"163","98","26",NA,"Y","Y","12","205.5","NC1","NC"
"164","103","30",NA,"Y","Y","10","185.4","NC1","NC"
"165","104","30",NA,"Y","Y","10","165.4","NC1","NC"
"166","105","30",NA,"Y","Y","11","198.6","NC1","NC"
"167","108","30",NA,"Y","Y","10","195.3","NC1","NC"
"168","109","30",NA,"Y","Y","11","190","NC1","NC"
"169","110","30",NA,"Y","Y","11","209.1","NC1","NC"
